question,prompt,generated_text,pred_answer,gold_answer,is_correct
Why couldn't Alice get a doll as a child?,"Question: Why couldn't Alice get a doll as a child? 

Options:
A) Because her mother died quite early.
B) Because her family disliked her.
C) Because her family was very poor.
D) Because Alice didn't love dolls.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Why couldn't Alice get a doll as a child? 

Options:
A) Because her mother died quite early.
B) Because her family disliked her.
C) Because her family was very poor.
D) Because Alice didn't love dolls.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ",A,C,False
What did the friend's father do that Christmas morning?,"Question: What did the friend's father do that Christmas morning? 

Options:
A) He acted as Santa Claus to send Christmas gifts.
B) He went to her home to see Alice.
C) He bought some Christmas gifts for Katie.
D) He helped her to get Christmas gifts ready.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What did the friend's father do that Christmas morning? 

Options:
A) He acted as Santa Claus to send Christmas gifts.
B) He went to her home to see Alice.
C) He bought some Christmas gifts for Katie.
D) He helped her to get Christmas gifts ready.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ",A,A,True
Why didn't Alice expect there was also a gift for her?,"Question: Why didn't Alice expect there was also a gift for her? 

Options:
A) The gifts from Santa Claus were usually for children.
B) The gift was forgotten many years ago.
C) The gift for her was bought by accident on the way.
D) The gifts for Katie were enough to share with her.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Why didn't Alice expect there was also a gift for her? 

Options:
A) The gifts from Santa Claus were usually for children.
B) The gift was forgotten many years ago.
C) The gift for her was bought by accident on the way.
D) The gifts for Katie were enough to share with her.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,A,False
The author wrote the message card in order to   _  .,"Question: The author wrote the message card in order to   _  . 

Options:
A) show her deep apology to her mother
B) make it clear that Santa Claus didn't forget her
C) show that Santa Claus was hard-working
D) make Alice believe the gift was exactly for her

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The author wrote the message card in order to   _  . 

Options:
A) show her deep apology to her mother
B) make it clear that Santa Claus didn't forget her
C) show that Santa Claus was hard-working
D) make Alice believe the gift was exactly for her

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,D,False
The main purpose of the passage is  _  .,"Question: The main purpose of the passage is  _  . 

Options:
A) to criticize Mattel Inc. for their bad products
B) to inform readers of Polly Pocket toys recall
C) to warn readers the danger of swallowing magnets
D) to suggest some ways to return Polly Pocket toys

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The main purpose of the passage is  _  . 

Options:
A) to criticize Mattel Inc. for their bad products
B) to inform readers of Polly Pocket toys recall
C) to warn readers the danger of swallowing magnets
D) to suggest some ways to return Polly Pocket toys

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
All of the following points are covered in the story EXCEPT  _  .,"Question: All of the following points are covered in the story EXCEPT  _  . 

Options:
A) the danger of small magnets
B) the ways of returning Polly Pocket toys
C) the methods of recognizing a recalled Polly Pocket toys
D) the apology made by Mattel Inc.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: All of the following points are covered in the story EXCEPT  _  . 

Options:
A) the danger of small magnets
B) the ways of returning Polly Pocket toys
C) the methods of recognizing a recalled Polly Pocket toys
D) the apology made by Mattel Inc.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,D,False
"What does the writer mean by saying ""Responsibility is the name of the game""?","Question: What does the writer mean by saying ""Responsibility is the name of the game""? 

Options:
A) Writers should be responsible for their names.
B) Writers need to provide their personal information in the game.
C) Names are required to indicate writers' responsibility for what they say.
D) Publications must bear the writer's full name, address and phone number.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What does the writer mean by saying ""Responsibility is the name of the game""? 

Options:
A) Writers should be responsible for their names.
B) Writers need to provide their personal information in the game.
C) Names are required to indicate writers' responsibility for what they say.
D) Publications must bear the writer's full name, address and phone number.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ",A,C,False
Some people don't want their names known because they are  _  .,"Question: Some people don't want their names known because they are  _  . 

Options:
A) ready for involvement
B) hesitant to make a donation
C) afraid of an accusation
D) unwilling to draw public attention

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Some people don't want their names known because they are  _  . 

Options:
A) ready for involvement
B) hesitant to make a donation
C) afraid of an accusation
D) unwilling to draw public attention

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,D,False
The passage is mainly about  _  .,"Question: The passage is mainly about  _  . 

Options:
A) honor and writers
B) signature and responsibility
C) identity and signature
D) anonymity and signature

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The passage is mainly about  _  . 

Options:
A) honor and writers
B) signature and responsibility
C) identity and signature
D) anonymity and signature

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
"Consumers can buy the ""Talk to the Hand"" gloves   _  .","Question: Consumers can buy the ""Talk to the Hand"" gloves   _  . 

Options:
A) in the exhibition
B) from Mr Miles
C) when they are mass produced
D) after they recycle the gadgets

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Consumers can buy the ""Talk to the Hand"" gloves   _  . 

Options:
A) in the exhibition
B) from Mr Miles
C) when they are mass produced
D) after they recycle the gadgets

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,C,False
The purpose of the project is to   _  .,"Question: The purpose of the project is to   _  . 

Options:
A) promote the technology of IT
B) enable people to talk to their hands
C) raise people's awareness of recycling
D) attract visitors' attention in the exhibition

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The purpose of the project is to   _  . 

Options:
A) promote the technology of IT
B) enable people to talk to their hands
C) raise people's awareness of recycling
D) attract visitors' attention in the exhibition

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
What is the passage mainly about?,"Question: What is the passage mainly about? 

Options:
A) New mobiles that are fashionable.
B) Outdated handsets that are upgraded.
C) Outdated gadgets that can be used for recycling.
D) New gloves that can be used for making phone calls.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What is the passage mainly about? 

Options:
A) New mobiles that are fashionable.
B) Outdated handsets that are upgraded.
C) Outdated gadgets that can be used for recycling.
D) New gloves that can be used for making phone calls.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
Where are adders to be found?,"Question: Where are adders to be found? 

Options:
A) In fertile fields in Scotland.
B) On wild land throughout Britain.
C) In many parts of Britain and Ireland.
D) Everywhere in Britian except Scotland

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Where are adders to be found? 

Options:
A) In fertile fields in Scotland.
B) On wild land throughout Britain.
C) In many parts of Britain and Ireland.
D) Everywhere in Britian except Scotland

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
What should you do if you are with someone who is bitten by an adder?,"Question: What should you do if you are with someone who is bitten by an adder? 

Options:
A) Catch the biting adder at onece.
B) Don't worry about the bitten person.
C) Don't try to treat the bite by yourself.
D) Operate on the person as soon as possible.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What should you do if you are with someone who is bitten by an adder? 

Options:
A) Catch the biting adder at onece.
B) Don't worry about the bitten person.
C) Don't try to treat the bite by yourself.
D) Operate on the person as soon as possible.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
What's the best title of the passage?,"Question: What's the best title of the passage? 

Options:
A) Poisonous Snakes
B) Adders in Britain
C) Take Care oif Sake Bites
D) Protec Endangered Adders

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What's the best title of the passage? 

Options:
A) Poisonous Snakes
B) Adders in Britain
C) Take Care oif Sake Bites
D) Protec Endangered Adders

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
What is the vampire like in Bram Stoker's book?,"Question: What is the vampire like in Bram Stoker's book? 

Options:
A) Anxious but perfect.
B) Afraid of the fall of the British Empire.
C) Terrifying but also attractive.
D) Powerful, old and ugly.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What is the vampire like in Bram Stoker's book? 

Options:
A) Anxious but perfect.
B) Afraid of the fall of the British Empire.
C) Terrifying but also attractive.
D) Powerful, old and ugly.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
"According to the website Bookpages, today's vampires   _  .","Question: According to the website Bookpages, today's vampires   _  . 

Options:
A) dare to give up traditional ideas
B) may not think highly of parental authority
C) desire money, power and sexual attraction
D) are likely to be resisted by women

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: According to the website Bookpages, today's vampires   _  . 

Options:
A) dare to give up traditional ideas
B) may not think highly of parental authority
C) desire money, power and sexual attraction
D) are likely to be resisted by women

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,C,True
The main idea of this passage should be   _  .,"Question: The main idea of this passage should be   _  . 

Options:
A) Why Twilight is so popular nowadays
B) Vampires have been around us for long
C) Vampires may continue to drink our blood
D) We still like the story about vampires

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The main idea of this passage should be   _  . 

Options:
A) Why Twilight is so popular nowadays
B) Vampires have been around us for long
C) Vampires may continue to drink our blood
D) We still like the story about vampires

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,A,True
The writer suggests that the third most common blood type among the Europeans is   _  .,"Question: The writer suggests that the third most common blood type among the Europeans is   _  . 

Options:
A) B
B) A
C) AB
D) O

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The writer suggests that the third most common blood type among the Europeans is   _  . 

Options:
A) B
B) A
C) AB
D) O

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,A,False
The text mainly tells us   _  .,"Question: The text mainly tells us   _  . 

Options:
A) about the basic types of human blood
B) what kind of blood is the most common
C) about Karl Landsteiner who won the Nobel Prize
D) the relationship between blood type and nationality

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The text mainly tells us   _  . 

Options:
A) about the basic types of human blood
B) what kind of blood is the most common
C) about Karl Landsteiner who won the Nobel Prize
D) the relationship between blood type and nationality

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,A,False
What is the best way to protect children from improper material?,"Question: What is the best way to protect children from improper material? 

Options:
A) To talk to the children and persuade them to tell right from wrong.
B) To be nearby when the children are surfing the Internet.
C) To fix a content screener on the computer.
D) To buy some search engines for children.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What is the best way to protect children from improper material? 

Options:
A) To talk to the children and persuade them to tell right from wrong.
B) To be nearby when the children are surfing the Internet.
C) To fix a content screener on the computer.
D) To buy some search engines for children.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,A,False
Which of the following statements is true according to the passage?,"Question: Which of the following statements is true according to the passage? 

Options:
A) Surfing the Internet is the best way of educating children.
B) Using a content screener is most reliable for keeping children from having ways to the Internet.
C) Searching engines can help children to select materials fit for them.
D) Children's not having chances to go to the Internet may have effect on their progress.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Which of the following statements is true according to the passage? 

Options:
A) Surfing the Internet is the best way of educating children.
B) Using a content screener is most reliable for keeping children from having ways to the Internet.
C) Searching engines can help children to select materials fit for them.
D) Children's not having chances to go to the Internet may have effect on their progress.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,D,False
"According to the passage, we can infer that   _  .","Question: According to the passage, we can infer that   _  . 

Options:
A) softwares that are fit for children who want programming
B) the Internet contains a lot of harmful sites
C) the Internet will be protected by law
D) a child who is on-line is in danger

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: According to the passage, we can infer that   _  . 

Options:
A) softwares that are fit for children who want programming
B) the Internet contains a lot of harmful sites
C) the Internet will be protected by law
D) a child who is on-line is in danger

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,B,True
What does the passage tell us most?,"Question: What does the passage tell us most? 

Options:
A) Education
B) Good guides
C) Precautions
D) Software

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What does the passage tell us most? 

Options:
A) Education
B) Good guides
C) Precautions
D) Software

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
What does the text mainly deal with?,"Question: What does the text mainly deal with? 

Options:
A) Plots of some famous movies.
B) Characters in space movies.
C) Popularity of space movies.
D) Mistakes made in some movies.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What does the text mainly deal with? 

Options:
A) Plots of some famous movies.
B) Characters in space movies.
C) Popularity of space movies.
D) Mistakes made in some movies.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
Parents should become concerned when their children  _  .,"Question: Parents should become concerned when their children  _  . 

Options:
A) talk a lot about celebrities with others
B) put up celebrity posters in their bedrooms
C) ask to go to their favourite star's concert
D) desire a close personal relationship with their favorite star

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Parents should become concerned when their children  _  . 

Options:
A) talk a lot about celebrities with others
B) put up celebrity posters in their bedrooms
C) ask to go to their favourite star's concert
D) desire a close personal relationship with their favorite star

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
"According to the passage, before you decide to lose or gain weight you must know   _  .","Question: According to the passage, before you decide to lose or gain weight you must know   _  . 

Options:
A) how you will do it
B) how long it should last
C) whether you have a healthy weight
D) what your realistic goal is

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: According to the passage, before you decide to lose or gain weight you must know   _  . 

Options:
A) how you will do it
B) how long it should last
C) whether you have a healthy weight
D) what your realistic goal is

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
We can learn from the passage that   _  .,"Question: We can learn from the passage that   _  . 

Options:
A) exercising is harmful to one's health
B) diet pills may not help one lose weight in the long term
C) having eating trouble is the No.1 cause of being overweight
D) all models or actors in magazines and on TV have weight problems

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: We can learn from the passage that   _  . 

Options:
A) exercising is harmful to one's health
B) diet pills may not help one lose weight in the long term
C) having eating trouble is the No.1 cause of being overweight
D) all models or actors in magazines and on TV have weight problems

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,B,True
Science writer Carl Zimmer wishes that   _,"Question: Science writer Carl Zimmer wishes that   _ 

Options:
A) a global health system could be set up to produce drugs
B) all the countries could produce drugs and vaccines for each other
C) all the countries could work together to cope with any trouble caused by viruses
D) complicated drugs and vaccines could be traded among countries

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Science writer Carl Zimmer wishes that   _ 

Options:
A) a global health system could be set up to produce drugs
B) all the countries could produce drugs and vaccines for each other
C) all the countries could work together to cope with any trouble caused by viruses
D) complicated drugs and vaccines could be traded among countries

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
The passage tells us   _,"Question: The passage tells us   _ 

Options:
A) scientists have made a medicine that can kill all kinds of viruses
B) viruses have ever done great harm to us human beings
C) universal anti-viral drug has existed for many years
D) viruses are always our enemies

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The passage tells us   _ 

Options:
A) scientists have made a medicine that can kill all kinds of viruses
B) viruses have ever done great harm to us human beings
C) universal anti-viral drug has existed for many years
D) viruses are always our enemies

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
"According to the text, salt can be used in the following EXCEPT   _  .","Question: According to the text, salt can be used in the following EXCEPT   _  . 

Options:
A) keeping dead bodies
B) punishing thieves
C) protecting crops
D) making industrial products

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: According to the text, salt can be used in the following EXCEPT   _  . 

Options:
A) keeping dead bodies
B) punishing thieves
C) protecting crops
D) making industrial products

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
In the Roman Empire many people were employed as guards to   _  .,"Question: In the Roman Empire many people were employed as guards to   _  . 

Options:
A) protect the city of Rome
B) watch people carrying salt
C) prevent thieves from stealing salt
D) carry salt from the mines to Rome

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: In the Roman Empire many people were employed as guards to   _  . 

Options:
A) protect the city of Rome
B) watch people carrying salt
C) prevent thieves from stealing salt
D) carry salt from the mines to Rome

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
"The expression ""not worth his salt"" used today refers to the one who   _  .","Question: The expression ""not worth his salt"" used today refers to the one who   _  . 

Options:
A) fails to do his work well
B) should not be paid in salt
C) doesn't want to work at all
D) should use less salt

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The expression ""not worth his salt"" used today refers to the one who   _  . 

Options:
A) fails to do his work well
B) should not be paid in salt
C) doesn't want to work at all
D) should use less salt

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,A,False
The main purpose of the text is to tell readers   _  .,"Question: The main purpose of the text is to tell readers   _  . 

Options:
A) how salt was found and got
B) salt is important in people's life
C) salt was difficult to get in the past
D) what salt brings to the English language

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: The main purpose of the text is to tell readers   _  . 

Options:
A) how salt was found and got
B) salt is important in people's life
C) salt was difficult to get in the past
D) what salt brings to the English language

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
We can infer that the English language versions of newspapers   _  .,"Question: We can infer that the English language versions of newspapers   _  . 

Options:
A) should report the battle above
B) should be paid more attention to
C) should collect more Chingliah phrases
D) should be in duty to teach normal English

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: We can infer that the English language versions of newspapers   _  . 

Options:
A) should report the battle above
B) should be paid more attention to
C) should collect more Chingliah phrases
D) should be in duty to teach normal English

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
This passage mainly tells us   _  .,"Question: This passage mainly tells us   _  . 

Options:
A) why people like chocolate
B) almost everyone likes chocolate
C) about different kinds of chocolate
D) different choices may show different characters

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: This passage mainly tells us   _  . 

Options:
A) why people like chocolate
B) almost everyone likes chocolate
C) about different kinds of chocolate
D) different choices may show different characters

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,D,True
Picking a round shape of chocolate shows that a person   _  .,"Question: Picking a round shape of chocolate shows that a person   _  . 

Options:
A) likes singing, dancing and drinking
B) likes to do something for others
C) is good at making things
D) can be depended on

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Picking a round shape of chocolate shows that a person   _  . 

Options:
A) likes singing, dancing and drinking
B) likes to do something for others
C) is good at making things
D) can be depended on

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,A,False
If you enjoy eating milk chocolate you may   _  .,"Question: If you enjoy eating milk chocolate you may   _  . 

Options:
A) look forward to the future
B) like to think of the past
C) enjoy parties and fun
D) have trouble making decisions

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: If you enjoy eating milk chocolate you may   _  . 

Options:
A) look forward to the future
B) like to think of the past
C) enjoy parties and fun
D) have trouble making decisions

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,B,False
From this passage we can say that a helpful man may choose chocolate   _  .,"Question: From this passage we can say that a helpful man may choose chocolate   _  . 

Options:
A) in oval shape
B) in square shape
C) with nuts
D) with coffee

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: From this passage we can say that a helpful man may choose chocolate   _  . 

Options:
A) in oval shape
B) in square shape
C) with nuts
D) with coffee

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
"Compared with other TV talk shows, both the Jerry Springer and the Oprah Winfrey shows are   _  .","Question: Compared with other TV talk shows, both the Jerry Springer and the Oprah Winfrey shows are   _  . 

Options:
A) more interesting.
B) unusually popular.
C) more detailed.
D) more formal.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Compared with other TV talk shows, both the Jerry Springer and the Oprah Winfrey shows are   _  . 

Options:
A) more interesting.
B) unusually popular.
C) more detailed.
D) more formal.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,B,True
"Though the social problems Jerry Springer talks about appear unpleasant, people who watch the shows   _  .","Question: Though the social problems Jerry Springer talks about appear unpleasant, people who watch the shows   _  . 

Options:
A) show disbelief in them.
B) are ready to face up to them.
C) remain cold to them.
D) are willing to get away from them.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Though the social problems Jerry Springer talks about appear unpleasant, people who watch the shows   _  . 

Options:
A) show disbelief in them.
B) are ready to face up to them.
C) remain cold to them.
D) are willing to get away from them.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,B,True
Which of the following is likely to be a topic of the Oprah Winfrey show?,"Question: Which of the following is likely to be a topic of the Oprah Winfrey show? 

Options:
A) A new type of robot.
B) National hatred  .
C) Family income planning.
D) Street accident.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Which of the following is likely to be a topic of the Oprah Winfrey show? 

Options:
A) A new type of robot.
B) National hatred  .
C) Family income planning.
D) Street accident.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,C,False
What is the advantage of the Jerry Springer show?,"Question: What is the advantage of the Jerry Springer show? 

Options:
A) The show exposes the dark sides of society.
B) The show pours poisonous waste into society.
C) Jerry sums up   the whole idea of the show.
D) Jerry talks about the improvement of society.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What is the advantage of the Jerry Springer show? 

Options:
A) The show exposes the dark sides of society.
B) The show pours poisonous waste into society.
C) Jerry sums up   the whole idea of the show.
D) Jerry talks about the improvement of society.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  B",B,C,False
"What does the writer probably mean by saying the phrase ""love is patient""?","Question: What does the writer probably mean by saying the phrase ""love is patient""? 

Options:
A) To win love needs a good-natured tolerance  of waiting.
B) Love can make someone ill in hospital.
C) Love can also help one set a world record.
D) To win love needs a whole new level of cooking skill

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What does the writer probably mean by saying the phrase ""love is patient""? 

Options:
A) To win love needs a good-natured tolerance  of waiting.
B) Love can make someone ill in hospital.
C) Love can also help one set a world record.
D) To win love needs a whole new level of cooking skill

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ",A,A,True
What caused the failure of Willard and Llah's engagement?,"Question: What caused the failure of Willard and Llah's engagement? 

Options:
A) Their unhappy company with each other.
B) Llah's new love with someone else.
C) Their being far away from each other.
D) Willard's escape from his family.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What caused the failure of Willard and Llah's engagement? 

Options:
A) Their unhappy company with each other.
B) Llah's new love with someone else.
C) Their being far away from each other.
D) Willard's escape from his family.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,C,False
"After Willard's wife died, he came back to his hometown   _   there.","Question: After Willard's wife died, he came back to his hometown   _   there. 

Options:
A) in order to date with Llah
B) and got informed of Llah's husband's death
C) to ask Llah to move in with him
D) and was told that he needed a new pacemaker

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: After Willard's wife died, he came back to his hometown   _   there. 

Options:
A) in order to date with Llah
B) and got informed of Llah's husband's death
C) to ask Llah to move in with him
D) and was told that he needed a new pacemaker

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,B,False
Which of the following should be the best title for the passage?,"Question: Which of the following should be the best title for the passage? 

Options:
A) A Car Accident Brought about Reunion
B) Second Marriage and Second Happiness
C) No Argument in a Reunited Family
D) Reunited after 62 Years.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Which of the following should be the best title for the passage? 

Options:
A) A Car Accident Brought about Reunion
B) Second Marriage and Second Happiness
C) No Argument in a Reunited Family
D) Reunited after 62 Years.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  C",C,D,False
What does the author mainly want to do by this passage?,"Question: What does the author mainly want to do by this passage? 

Options:
A) Argue against an idea.
B) Explain some famous sayings.
C) Introduce some famous sayings.
D) Put forward an idea.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What does the author mainly want to do by this passage? 

Options:
A) Argue against an idea.
B) Explain some famous sayings.
C) Introduce some famous sayings.
D) Put forward an idea.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,D,True
Which of the following behavior is probably NOT encouraged by the author?,"Question: Which of the following behavior is probably NOT encouraged by the author? 

Options:
A) Thinking more than your own business.
B) Caring only about your physical welfare.
C) Reading good novels.
D) Listening to fine music.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: Which of the following behavior is probably NOT encouraged by the author? 

Options:
A) Thinking more than your own business.
B) Caring only about your physical welfare.
C) Reading good novels.
D) Listening to fine music.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
What is the main idea of the passage?,"Question: What is the main idea of the passage? 

Options:
A) To be is to be in relations.
B) I think, therefore I am.
C) To be or not to be, that is a question.
D) A man dies as often as he loses a friend.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What is the main idea of the passage? 

Options:
A) To be is to be in relations.
B) I think, therefore I am.
C) To be or not to be, that is a question.
D) A man dies as often as he loses a friend.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  A",A,A,True
What may be the function of nicotine in cigarette butts for birds?,"Question: What may be the function of nicotine in cigarette butts for birds? 

Options:
A) To provide building materials for bird nests.
B) To drive harmful insects away from bird nests.
C) To protect the plants from being eaten by insects.
D) To attract baby birds to stay in the nests.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer: ","Question: What may be the function of nicotine in cigarette butts for birds? 

Options:
A) To provide building materials for bird nests.
B) To drive harmful insects away from bird nests.
C) To protect the plants from being eaten by insects.
D) To attract baby birds to stay in the nests.

Choose the correct answer and conclude with 'The answer is: <A/B/C/D>'. 

Answer:  D",D,B,False
